ticker,name,category,expense_ratio
met,"MetLife Inc(USD,MET)",US Large Value,0.0
MFAIX,Morgan Stanley Inst Intl Advtg I,** 80 Intl Large Growth / 15 Emerging Large Growth / 5 US Large Growth **,0.0097
MFEIX,MFS® Growth I,US Large Growth,0.0069
MFGP,Micro Focus International PLC ADR,Intl Large Growth,0.0
MGA,MAGNA INTERNATIONAL INC,US Large Blend,0.0
MGDDY,Cie Generale des Etablissements Michelin SA ADR,US Large Value,0.0
MGP,MGM Growth Properties LLC A,US Mid Growth,0.0
AMKIX,American Century Emerging Markets I,Intl Large Growth,0.0105
MGRC,McGrath RentCorp,US Small Growth,0.0
AMD,Advanced Micro Devices Inc,US Mid Blend,0.0
MGV,"Vanguard Mega Cap Value ETF(USD,MGV)",US Large Value,0.0007
mhysx,"MainStay MacKay High Yield Corp Bd R6(USD,MHYSX)",High Yield,0.0058
MIAGX,MFS® Aggressive Growth Allocation I,** 60% US Large Growth / 40% Intl Large Growth **,0.0085
MIEIX,MFS Instl International Equity,Intl Large Growth,0.0071
MIK,The Michaels Companies Inc,US Mid Blend,0.0
MINDX,Matthews India Fund Investor Class,Emerging Large Growth,0.0109
MINE,"Minerco Inc(USD,MINE)",US Micro,0.0
FEPIX,Fidelity Advisor® Total Bond I,Int-Term Inv. Grade,0.005
MINIX,"MFS® International Value I(USD,MINIX)",Intl Large Value,0.0072
MINT,Enhanced Short Maturity Strategy Fund,Short-Term Inv. Grade,0.0035
MITFX,"BMO Intermediate Tax-Free Y(USD,MITFX)",Int-Term Inv. Grade,0.0055
AMECX,American Funds Income Fund of Amer A,** 50 US Large Value / 20 Intl Large Value / 25 Int-Term Inv. Grade / 5 Cash **,0.0056
MITIX,MFS® Massachusetts Investors Tr I,US Large Blend,0.0047
MITL,"Mitel Networks Corp(USD,MITL)",US Small Blend,0.0
MIXT,MiX Telematics Ltd ADR,Emerging Small Growth,0.0
MJ,ETFMG Alternative Harvest ETF,** 30 US Small Growth / 70 Intl Small Growth **,0.0075
MJNA,Medical Marijuana Inc,US Micro,0.0
mkc,"McCormick & Co Inc Non-Voting(USD,MKC)",US Mid Blend,0.0
GSIRX,Goldman Sachs Emerging Markets Dbt Inv,High Yield,0.009
MKDVX,BlackRock Equity Divident K,US Large Value,0.006
MKL,MARKEL CORP,US Mid Growth,0.0
MKSI,MKS Instruments Inc,US Mid Blend,0.0
MKTAY,Makita Corp ADR,US Large Blend,0.0
AMED,"Amedisys Inc(USD,AMED)",US Mid Growth,0.0
MLCO,Melco Resorts and Entertainment Ltd ADR,Emerging Large Growth,0.0
MLM,MARTIN MARIETTA MATR,US Mid Blend,0.0
MLNX,Mellanox Technologies Ltd,US Mid Growth,0.0
MLPA,MLP ETF,MLP,0.0047
MMC,"Marsh & McLennan Companies Inc(USD,MMC)",US Large Blend,0.0
GBLFX,"American Funds Global Balanced F2(USD,GBLFX)",** 25% US Large Blend / 35% Intl Large Blend / 40% Int-Term Inv. Grade **,0.0061
MMM,3M Co,US Large Blend,0.0
MMP,Magellan Midstream Partners LP,MLP,0.0
MNK,Mallinckrodt PLC,US Small Value,0.0
mnlo,"Menlo Therapeutics Inc(USD,MNLO)",US Small Growth,0.0
MNST,MONSTER BEVERAGE CORPORA,US Large Growth,0.0
AMEFX,American Funds Inc Fund of Amer F2,** .55 US Large Value / .2 Intl Large Value / .25 High Yield **,0.0039
MO,Altria Group Inc,US Large Blend,0.0
MON,"Monsanto Co(USD,MON)",US Large Blend,0.0
