ticker,name,category,expense_ratio
JXN,Jackson Financial Inc,US Small Value,0.0
CRLBF,Cresco Labs Inc,US Small Growth,0.0
SXPAX,DWS S&P 500 Index A,US Large Blend,0.0054
MDCPX,BlackRock Balanced Capital Inv A,** 55 US Large Blend / 25 Int-Term Inv. Grade / 20 Cash **,0.0082
LI,Li Auto Inc ADR,Emerging Large Blend,0.0045
BACpM,Bank of America 5.375 Pref,Preferred Stock,0.013
FEEU,Barclays ETN + FI Enhanced Europe 50 ETN,Intl Large Blend,0.0076
CCIV,Churchill Capital IV Corp,Non-Traditional,0.0067
NTRA,Natera Inc,US Mid Growth,0.0
PTRAX,PIMCO Total Return Admin,Non-Traditional,0.0095
PAALX,PIMCO All Asset Admin,Non-Traditional,0.01115
WOBDX,JPMorgan Core Bond I,Int-Term Inv. Grade,0.005
BFMCX,BlackRock Core Bond Instl,Int-Term Inv. Grade,0.0045
BITSX,iShares Total US Stock Market Idx Instl,US Large Blend,0.0008
MISGX,Meridian Small Cap Growth Investor,US Small Growth,0.013
DHLRX,Diamond Hill Large Cap I,US Large Blend,0.0067
ABYIX,Abbey Capital Futures Strategy I,Managed Futures,0.0179
LFMIX,LoCorr Macro Strategies I,Non-Traditional,0.0193
FEM,First Trust Emerging Markets AlphaDEX® ETF,Emerging Large Value,0.008
ASFYX,AlphaSimplex Mgd Futs Strat Y,Managed Futures,0.0146
FASGX,Fidelity Asset Manager® 70%,** 45 US Large Blend / 25 Intl Large Blend / 30 Int-Term Inv. Grade **,0.0067
USERX,US Global Investors Gld & Prec Mtls,Commodities,0.016
IAUTX,Invesco Dividend Income A,** 85 US Large Value / 15 Intl Large Value **,0.0096
USAUX,USAA Aggressive Growth,US Large Growth,0.0072
TNUAX,1290 Diversified Bond A,Int-Term Inv. Grade,0.0075
CLVT,Clarivate PLC Ordinary Shares,Intl Mid Growth,0.0
LSIOX,LOOMIS SAYLES HIGH INCOM E OPPS INSTL,High Yield,0.0098
LSSAX,LOOMIS SAYLES SECURITIZE D ASSET,Int-Term Inv. Grade,1e-05
FEMKX,"Fidelity® Emerging Markets(USD,FEMKX)",Emerging Large Growth,0.0097
FIFGX,Fidelity® SAI Inflation-Focused,Commodities,0.004
FEP,First Trust Europe AlphaDEX® ETF,Intl Mid Growth,0.008
FSLTX,Strategic Advisers Alternatives,Non-Traditional,0.0148
FERGX,Fidelity SAI Emerging Markets Index Fund,Emerging Large Blend,0.0008
FCBYX,Nuveen Strategic Income I,High Yield,0.0059
FERGY,Ferguson PLC ADR,US Mid Value,0.0
FJSYX,Nuveen Credit Income I,High Yield,0.0076
RDS/A/38,SHELL INTERNTN6.375% 38F DUE 12/15/38,Long-Term Inv. Grade,0.0
FEU,SPDR STOXX Europe 50 ETF,Intl Large Value,0.0029
FSHYX,Nuveen Short Term Municipal Bond I,Short-Term Inv. Grade,0.0047
ADI,Analog Devices Inc,US Large Growth,0.0
FEUGX,"Federated Adjustable Rate Secs Instl(USD,FEUGX)",Short-Term Inv. Grade,0.0065
LSGNX,Loomis Sayles Global Bond N,Int-Term Inv. Grade,0.0064
gwph,"GW Pharmaceuticals PLC ADR(USD,GWPH)",Intl Mid Growth,0.0
FEZ,SPDR Euro STOXX 50 ETF,Intl Large Value,0.0
TCYIX,TIAA-CREF Lifecycle 2025 Institutional,** 35 US Large Blend / 20 Intl Large Blend / 45 Int-Term Inv. Grade **,0.0041
ALP.PRQ,ALABAMA POWER CO 5% PFD PFD,Preferred Stock,0.0
AFGC,AMERICAN FINL 5.125%PFD DUE 12/15/59 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
AIG.PRA,AMERICAN INTE 5.85% PFD PFD SER A,Preferred Stock,0.0
ACGLN,ARCH CAPITAL 4.55% PFD PFD SER G,Preferred Stock,0.0
ASB.PRD,ASSOCIATED B 5.375% PFD PFD SER D,Preferred Stock,0.0
ASB.PRF,ASSOCIATED B 5.625% PFD PFD SER F,Preferred Stock,0.0
ITHUF,iAnthus Capital Holdings Inc,US Micro,0.0
ASB.PRE,ASSOCIATED B 5.875% PFD PFD SER E,Preferred Stock,0.0
FF,"FutureFuel Corp(USD,FF)",US Small Blend,0.0
T.PRC,AT&T INC. 4.75% PFD PFD SER C,Preferred Stock,0.0
T.PRA,AT&T INC. 5% PFD PFD SER A,Preferred Stock,0.0
BAC.PRP,BANK OF AMER 4.125% PFD PFD SER PP,Preferred Stock,0.0
BAC.PRO,BANK OF AMER 4.375% PFD PFD SER NN,Preferred Stock,0.0
BAC.PRM,BANK OF AMER 5.375% PFD PFD SER KK,Preferred Stock,0.0
BAC.PRK,BANK OF AMER 5.875% PFD PFD SER HH,Preferred Stock,0.0
BAC.PRN,BANK OF AMERICA 5% PFD PFD SER LL,Preferred Stock,0.0
COF.PRJ,CAPITAL ONE FI 4.8% PFD PFD SER J,Preferred Stock,0.0
UTAYX,Aquila Tax-Free Fund For Utah Y,Int-Term Inv. Grade,0.0063
COF.PRG,CAPITAL ONE FI 5.2% PFD PFD SER G,Preferred Stock,0.0
COF.PRI,CAPITAL ONE FINL 5% PFD PFD SER I,Preferred Stock,0.0
FFEGX,"Fidelity Freedom® Index 2030 Instl Prem(USD,FFEGX)",** .5 US Large Blend .25 Intl Large Blend .25 Int-Term Inv. Grade**,0.0007
SCHW.PRJ,CHARLES SCHWA 4.45% PFD PFD SER J,Preferred Stock,0.0
C.PRK,CITIGROUP IN 6.875% PFD PFD,Preferred Stock,0.0
C.PRJ,CITIGROUP IN 7.125% PFD PFD,Preferred Stock,0.0
CFG.PRD,CITIZENS FINL 6.35% PFD PFD SER D,Preferred Stock,0.0
CFG.PRE,CITIZENS FINL GR 5% PFD PFD,Preferred Stock,0.0
CMS.PRC,CMS ENERGY COR 4.2% PFD PFD SER C,Preferred Stock,0.0
CMSA,CMS ENERGY COR 5.625%PFD DUE 03/15/78 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
MXFIX,MainStay Floating Rate I,High Yield,0.0079
CFR.PRB,CULLEN/FROST 4.45% PFD PFD SER B,Preferred Stock,0.0
DLR.PRL,DIGITAL REALTY 5.2% PFD PFD SER L,Preferred Stock,0.0
DRUA,DOMINION ENERGY 5.25%PFD DUE 07/30/76 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
FFFDX,Fidelity Freedom 2020,** .10 Cash/Money Market / .35 US Large Growth / .25 Intl Large Growth / .30 Int-Term Inv. Grade **,0.0062
DTW,DTE ENERGY CO 5.25%PFD DUE 12/01/77 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
DTY,DTE ENERGY CO 6%PFD DUE 12/15/76 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
DUK.PRA,DUKE ENERGY C 5.75% PFD PFD,Preferred Stock,0.0
EAI,ENTERGY ARKANS 4.875%PFD DUE 09/01/66 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
ELC,ENTERGY LOUISI 4.875%PFD DUE 09/01/66 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
EMP,ENTERGY MISSISSI 4.9%PFD DUE 10/01/66 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
TRIGX,T. Rowe Price International Value Eq,Intl Large Value,0.0079
EQH.PRA,EQUITABLE HLD 5.25% PFD PFD SER A,Preferred Stock,0.0
EQH.PRC,EQUITABLE HLDG 4.3% PFD PFD SER C,Preferred Stock,0.0
FITBO,FIFTH THIRD B 4.95% PFD PFD SER K,Preferred Stock,0.0
FHN.PRF,FIRST HORIZON 4.7% PFD PFD SER F,Preferred Stock,0.0
FFFEX,Fidelity Freedom 2030,** 30 US Large Blend / 20 Intl Large Blend / 10 Emerging Large Blend / 40 Int-Term Inv. Grade **,0.0066
FRC.PRK,FIRST REPUBL 4.125% PFD PFD SER K,Preferred Stock,0.0
FRC.PRH,FIRST REPUBL 5.125% PFD PFD SER H,Preferred Stock,0.0
FRC.PRJ,FIRST REPUBLIC 4.7% PFD PFD SER J,Preferred Stock,0.0
FRC.PRI,FIRST REPUBLIC 5.5% PFD PFD SER I,Preferred Stock,0.0
GPJA,GEORGIA POWER CO 5%PFD DUE 10/01/77 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
FTJXX,First American Retail Tax Free Obligs T,Short-Term Inv. Grade,0.004
JPM.PRK,JPMORGAN CHAS 4.55% PFD PFD,Preferred Stock,0.0
JPM.PRJ,JPMORGAN CHAS 4.75% PFD PFD SER GG,Preferred Stock,0.0
JPM.PRD,JPMORGAN CHAS 5.75% PFD PFD,Preferred Stock,0.0
JPM.PRC,JPMORGAN CHASE & 6% PFD PFD SER EE,Preferred Stock,0.0
KEY.PRK,KEYCORP 5.625% PFD PFD SER G,Preferred Stock,0.0
FFFFX,"Fidelity Freedom® 2040(USD,FFFFX)",** 50 US Large Blend / 30 Intl Large Blend / 20 Int-Term Inv. Grade **,0.0075
KEY.PRJ,KEYCORP 5.65% PFD PFD SER F,Preferred Stock,0.0
KEY.PRI,KEYCORP 6.125% PFD PFD SER E,Preferred Stock,0.0
KIM.PRL,KIMCO REALTY 5.125% PFD PFD,Preferred Stock,0.0
KIM.PRM,KIMCO REALTY 5.25% PFD PFD SER M,Preferred Stock,0.0
HLN,Haleon PLC ADR,Intl Large Blend,0.0
MET.PRF,METLIFE INC 4.75% PFD PFD SER F,Preferred Stock,0.0
MET.PRE,METLIFE INC 5.625% PFD PFD SER E,Preferred Stock,0.0
MS.PRL,MORGAN STANL 4.875% PFD PFD SER L,Preferred Stock,0.0
MS.PRI,MORGAN STANL 6.375% PFD PFD SER I,Preferred Stock,0.0
MS.PRF,MORGAN STANL 6.875% PFD PFD SER F,Preferred Stock,0.0
MS.PRE,MORGAN STANL 7.125% PFD PFD,Preferred Stock,0.0
FFIDX,"Fidelity®(USD,FFIDX)",US Large Growth,0.005
MS.PRK,MORGAN STANLE 5.85% PFD PFD SER K,Preferred Stock,0.0
MS.PRA,MORGAN STANLEY 4% PFD PFD SER A,Preferred Stock,0.0
NYCB.PRA,NEW YORK COM 6.375% PFD PFD SER A,Preferred Stock,0.0
YQ,17 Education & Technology Group Inc ADR,Emerging Small Blend,
NEE.PRK,NEXTERA ENERGY 5.25%PFD DUE 06/01/76 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
NEE.PRN,NEXTERA ENERGY 5.65%PFD DUE 03/01/79 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
NTRSO,NORTHERN TRUST 4.7% PFD PFD SER E,Preferred Stock,0.0
NNN.PRF,NTNL RETAIL PR 5.2% PFD PFD SER F,Preferred Stock,0.0
PNC.PRP,PNC FINL SVC 6.125% PFD PFD SER P,Preferred Stock,0.0
PSB.PRZ,PS BUSINESS 4.875% PFD PFD SER Z,Preferred Stock,0.0
PSB.PRX,PS BUSINESS P 5.25% PFD PFD,Preferred Stock,0.0
FFIN,First Financial Bankshares Inc,US Mid Blend,0.0
PSB.PRY,PS BUSINESS PA 5.2% PFD PFD SER Y,Preferred Stock,0.0
PSA.PRL,PUBLIC STORA 4.625% PFD PFD SER L,Preferred Stock,0.0
PSA.PRG,PUBLIC STORAG 5.05% PFD PFD SER G,Preferred Stock,0.0
PSA.PRF,PUBLIC STORAG 5.15% PFD PFD SER F,Preferred Stock,0.0
PSA.PRO,PUBLIC STORAGE 3.9% PFD PFD SER O,Preferred Stock,0.0
PSA.PRP,PUBLIC STORAGE 4% PFD PFD,Preferred Stock,0.0
PSA.PRE,PUBLIC STORAGE 4.9% PFD PFD SER E DUE 12/31/99,Preferred Stock,0.0
PSA.PRH,PUBLIC STORAGE 5.6% PFD PFD SER H,Preferred Stock,0.0
RF.PRE,REGIONS FINL 4.45% PFD PFD SER E,Preferred Stock,0.0
RF.PRB,REGIONS FINL 6.375% PFD PFD,Preferred Stock,0.0
FFIV,F5 Networks Inc,US Mid Blend,0.0
RF.PRC,REGIONS FINL C 5.7% PFD PFD SER C,Preferred Stock,0.0
WH,Wyndham Hotels & Resorts Inc Ordinary Shares,US Small Blend,0.0
RNR.PRG,RENAISSANCERE 4.2% PFD PFD SER G,Preferred Stock,0.0
RNR.PRF,RENAISSANCERE 5.75% PFD PFD SER F,Preferred Stock,0.0
SOJC,SOUTHERN COMPANY 5.25%77 DUE 12/01/77,Preferred Stock,0.0
STT.PRG,STATE STREET 5.35% PFD PFD SER G,Preferred Stock,0.0
STT.PRD,STATE STREET C 5.9% PFD PFD SER D,Preferred Stock,0.0
SF.PRC,STIFEL FINL 6.125% PFD PFD SER C,Preferred Stock,0.0
SIVBP,SVB FINL GROU 5.25% PFD PFD SER A,Preferred Stock,0.0
SNV.PRE,SYNOVUS FINL 5.875% PFD PFD SER E,Preferred Stock,0.0
ALL.PRI,THE ALLSTATE 4.75% PFD PFD SER I,Preferred Stock,0.0
ADM,Archer-Daniels Midland Co,US Large Value,0.0
GITAX,Goldman Sachs Technology Opps A,US Large Growth,0.0124
FFRHX,Fidelity Floating Rate High Income,Bank Loans,0.007
ALL.PRG,THE ALLSTATE 5.625% PFD PFD SER G,Preferred Stock,0.0
ALL.PRH,THE ALLSTATE C 5.1% PFD PFD SER H,Preferred Stock,0.0
GS.PRK,THE GOLDMAN 6.375% PFD PFD,Preferred Stock,0.0
GS.PRD,THE GOLDMAN SACH 4% PFD PFD SER D,Preferred Stock,0.0
HIG.PRG,THE HARTFORD FIN 6% PFD PFD SER G,Preferred Stock,0.0
SOJB,THE SOUTHERN CO 5.25%PFD DUE 10/01/76 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
TFC.PRR,TRUIST FINL C 4.75% PFD PFD SER R,Preferred Stock,0.0
TFC.PRO,TRUIST FINL C 5.25% PFD PFD SER O,Preferred Stock,0.0
USB.PRQ,U.S. BANCORP 3.75% PFD PFD SER L,Preferred Stock,0.0
FXO,First Trust Financials AlphaDEX® ETF,US Mid Value,0.0063
GWRE,Guidewire Software Inc,US Mid Growth,0.0
USB.PRR,U.S. BANCORP 4% PFD PFD SER M,Preferred Stock,0.0
FGD,"First Trust Dow Jones Global Sel Div ETF(USD,FGD)",**90% Intl Large Value 10% US Large Value,0.0058
USB.PRP,U.S. BANCORP 5.5% PFD PFD SER K,Preferred Stock,0.0
USB.PRH,U.S. BANCORP 5.56% PFD PFD SER B,Preferred Stock,0.0
USB.PRM,U.S. BANCORP 6.5% PFD PFD,Preferred Stock,0.0
VNO.PRM,VORNADO REALT 5.25% PFD PFD SER M,Preferred Stock,0.0
VNO.PRN,VORNADO REALT 5.25% PFD PFD SER N,Preferred Stock,0.0
VOYA.PRB,"VOYA FINL, IN 5.35% PFD PFD SER B",Preferred Stock,0.0
WRB.PRG,W. R. BERKLEY C 4.25%PFD DUE 09/30/60 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
WRB.PRF,W. R. BERKLEY CO 5.1%PFD DUE 12/30/59 SUBJ TO XTRO REDEMPTION,Preferred Stock,0.0
TMFM,Motley Fool Mid-Cap Growth ETF,US Mid Growth,0.0085
WBS.PRF,WEBSTER FINL 5.25% PFD PFD SER F,Preferred Stock,0.0
WFC.PRZ,WELLS FARGO & 4.75% PFD PFD SER Z,Preferred Stock,0.0
fgen,"FibroGen Inc(USD,FGEN)",US Mid Growth,0.0
WFC.PRX,WELLS FARGO & 5.5% PFD PFD SER X DUE 12/31/99,Preferred Stock,0.0
WFC.PRY,WELLS FARGO 5.625% PFD PFD SER Y,Preferred Stock,0.0
WFC.PRR,WELLS FARGO 6.625% PFD PFD SER R,Preferred Stock,0.0
OBTC,Osprey Bitcoin Trust,Non-Traditional,0.0093
TFSL,TFS Financial Corp,US Small Blend,0.0
EMD,Wester Asset Emerg Mkts Debt,Emerging Market Debt,0.0185
BIRD,Allbirds Inc Class A,US Small Growth,0.0
RDS.A.38,SHELL INTERNTN6.375% 38F DUE 12/15/38,Long-Term Inv. Grade,0.0
FGMNX,"Fidelity® GNMA(USD,FGMNX)",Int-Term Inv. Grade,0.0045
TCLEX,TIAA-CREF Lifecycle 2010 Retirement,** 25 US Large Blend / 15 Intl Large Blend / 60 Int-Term Inv. Grade **,0.0062
EWW,iShares MSCI Mexico ETF,Emerging Large Blend,0.0051
fgnsx,"Strategic Advisers® Tx-Snstv Shrt Dur(USD,FGNSX)",Short-Term Inv. Grade,0.0014
AIMC,Altra Industrial Motion Corp,US Small Value,0.0
CPNG,Coupang Inc,Intl Large Growth,
SGEN,Seagen Inc,US Mid Growth,
SMAR,Smartsheet Inc,US Mid Growth,
FFIZX,Fidelity Freedom Index 2040 Instl Prem,** 55 US Large Blend / 35 Intl Large Blend / 10 Int-Term Inv. Grade **,0.0008
AXGN,Axogen Inc,US Small Blend,0.0
FGRIX,"Fidelity® Growth & Income(USD,FGRIX)",** 85 US Large Value / 15 Intl Large Value **,0.0063
TEST,TEST,Bank Loans,0.0008
VMVIX,Vanguard Mid-Cap Value Index Investor,US Mid Value,0.0019
COMP,Compass Inc,US Small Value,
ONPH,Oncology Pharma Inc,US Micro,
MGSEX,AMG Veritas Asia Pacific N,Emerging Large Growth,0.0118
FBIFX,Fidelity Freedom Index 2040 Investor,** 55 US Large Blend / 35 Intl Large Blend / 10 Int-Term Inv. Grade **,0.0012
FOA,Finance of America Companies Inc,US Micro,
WPVLX,Weitz Partners Value Investor,US Large Blend,0.0107
ESE,ESCO Technologies Inc,US Small Blend,0.0
FGRTX,"Fidelity® Mega Cap Stock(USD,FGRTX)",US Large Blend,0.0068
IGHG,ProShares Investment Grade -- Intr Rt Hdgd,Int-Term Inv. Grade,0.003
FRPT,Freshpet Inc,US Small Growth,0.0
FHLC,MSCI Health Care Index ETF,US Large Value,0.0008
CLPS,CLPS Inc,Intl Small Value,
ISCH,iShares Ultra Short-Term Bond ETF,Short-Term Inv. Grade,0.0008
HSKA,Heska Corp,US Small Growth,0.0
MGC,Vanguard Mega Cap ETF,US Large Blend,0.0007
ICSH,iShares Ultra Short-Term Bond ETF,Short-Term Inv. Grade,0.0008
FHN,"First Horizon National Corp(USD,FHN)",US Mid Value,0.0
PFXF,VanEck Vectors Pref Secs ex Fincls ETF,Preferred Stock,0.004
MQIFX,Franklin Mutual Quest Z,** 40 US Large Blend / 40 Intl Large Blend / 20 Cash **,0.0081
BVVBY,Bureau Veritas SA ADR,Intl Large Blend,0.0
CTTAY,Continental AG ADR,Intl Large Blend,0.0
FERG,Ferguson PLC,Intl Mid Blend,0.0
FJTSY,Fujitsu Ltd ADR,Intl Large Blend,0.0
ITVPY,ITV PLC ADR,Intl Mid Value,0.0
FROG,JFrog Ltd Ordinary Shares,US Small Growth,0.0
LGRDY,Legrand SA ADR,Intl Large Blend,0.0
NEXOY,NEXON Co Ltd ADR,Intl Large Blend,0.0
UITIX,USAA Tax Exempt Intermediate-Term Ins,Int-Term Inv. Grade,0.0044
FHNIX,"Fidelity Advisor® High Income I(USD,FHNIX)",High Yield,0.008
BKI,Black Knight Inc A,US Mid Blend,0.0
FNGZX,Franklin Intl Growth Adv,Intl Large Growth,0.0087
HHHYX,Hartford Schroders Emerging Mkts Eq Y,Emerging Large Blend,0.0117
LNTH,Lantheus Holdings Inc,US Small Growth,0.0
ADNT,"Adient PLC(USD,ADNT)",US Small Value,0.0
FHYAX,"Federated High Yield Trust A(USD,FHYAX)",High Yield,0.0098
PECO,"Phillips Edison & Company, Inc.",US Small Value,0.0
ACVIX,American Century Small Cap Value I,US Small Value,0.0099
FAGCX,Fidelity Advisor Growth Opps I,US Large Growth,0.0081
FDEEX,Fidelity Freedom® 2055,** 45 US Large Blend / 34 Intl Large Blend / 10 Emerging Large Blend / 7 Long-Term Inv. Grade / 4 Cash **,0.0075
LC,LendingClub Corp,US Small Blend,0.0
FHCIX,Fidelity Advisor Health Care I,US Large Blend,0.0074
FERIX,Fidelity Advisor Emerging Asia I,Emerging Large Growth,0.01
OIEJX,JPMorgan Equity Income R6,US Large Value,0.0047
MLRSX,MainStay Winslow Large Cap Growth R6,US Large Growth,0.0064
CSRIX,Cohen & Steers Instl Realty Shares,US Mid Blend,0.0075
JMGMX,JPMorgan Mid Cap Growth R6,US Mid Growth,0.0074
FHYTX,Federated High-Yield Trust Service Shares,High Yield,0.0098
EPGFX,EuroPac Gold A,Intl Mid Growth,0.0146
DIVO,Amplify CWP Enhanced Dividend Income ETF,US Large Value,0.0055
HYLV,IQ S&P High Yield Low Volatility Bd ETF,High Yield,0.004
GWW,W.W. Grainger Inc,US Large Blend,0.0
WMC,Western Asset Mortgage Capital Corp,US Real Estate,0.0
GLO,Clough Global Opportunities,Intl Large Growth,0.0342
NRO,Neuberger Berman Real Est Securities Inc,US Real Estate,0.0216
MGNI,Magnite Inc,US Small Growth,0.0
SOHI,Sortis Holdings Inc,US Real Estate,0.0
ECON,Columbia Emerging Markets Consumer ETF,Emerging Large Blend,0.0059
AMANX,Amana Income Investor,US Large Blend,0.0104
FIALC,LAZARD RTRMT EMRGM,Emerging Large Value,0.0138
FEAIX,First Eagle Fund of America I,US Large Blend,0.0066
INRE,Inland Real Estate Income Trust Inc,US Real Estate,0.0
MEG,Montrose Environmental Group Inc Ordinary Shares,US Small Blend,0.0
IBDO,iShares iBonds Dec 2023 Term Corp ETF,Short-Term Inv. Grade,0.001
IBDN,iShares iBonds Dec 2022 Term Corp ETF,Short-Term Inv. Grade,0.001
IBDM,iShares iBonds Dec 2021 Term Corp ETF,Short-Term Inv. Grade,0.001
AFMCX,Acuitas US Microcap Institutional Fund,US Small Blend,0.015
NTSX,WisdomTree U.S. Efficient Core Fund,US Large Blend,0.002
RRESX,Russell Inv Global Real Estate Secs S,Intl Real Estate,0.011
RTDYX,Russell Inv Multifactor US Equity CL Y,US Large Blend,0.0035
RTIYX,Russell Inv Multifactor Intl Eq CL Y,Intl Large Blend,0.0044
FIBK,"First Interstate BancSystem Inc(USD,FIBK)",US Small Value,0.0
SHRIX,Stone Ridge Hi Yld Reinsurance Risk PrmI ,Non-Traditional,0.0167
NSTG,NanoString Technologies Inc,US Small Blend,0.0
SWAN,Amplify BlackSwan Gr & Trsry Cor ETF,Non-Traditional,0.0049
ILCG,iShares Morningstar Growth ETF,US Large Growth,0.0004
ILCV,iShares Morningstar Value ETF,US Large Value,0.0004
IMCG,iShares Morningstar Mid-Cap Growth ETF,US Mid Growth,0.0006
PARKX,T. Rowe Price Retirement 2035 Advisor,US Large Blend,0.0084
TRMT,Tremont Mortgage Trust Registered Shs of Benef Interest,US Real Estate,0.0
LEXNX,Voya GNMA Income A,Long-Term Inv. Grade,0.0084
IPHYX,Voya High Yield Port S,High Yield,0.0073
FIDU,Fidelity® MSCI Industrials ETF,US Large Blend,0.0008
PSN,Parsons Corp,US Small Blend,0.0
IGBRX,Voya Global Bond R,World Bond,0.0115
IVKAX,VY Invesco Comstock A,US Large Value,0.012
ITGIX,VY T. Rowe Price Growth Equity I,US Large Growth,0.0073
IJSAX,VY JPMorgan Small Cap Core Equity A,US Small Blend,0.0147
IMIOX,VY T. Rowe Price International Stock A,Intl Large Growth,0.0136
IJPIX,VY JPMorgan Emerging Markets Equity S,Emerging Large Growth,0.015
MSTQX,Morningstar US Equity,US Large Blend,0.0085
MSTFX,Morningstar International Equity,Intl Large Blend,0.01
MSTGX,Morningstar Global Income,** 55 Intl Large Value / 40 Int-Term Inv. Grade / 5 Cash **,0.0075
MSTRX,Morningstar Total Return Bond,Long-Term Inv. Grade,0.0054
VRRM,Verra Mobility Corp Class A,US Small Growth,0.0
fienx,"Fidelity® International Enhanced Index(USD,FIENX)",Intl Large Value,0.0059
MSTBX,Morningstar Defensive Bond,Short-Term Inv. Grade,0.0055
MSTMX,Morningstar Multisector Bond,** 55 High Yield / 45 Int-Term Inv. Grade **,0.008
MSTSX,Morningstar Unconstrained Allc,** 25 US Large Value / 45 Intl Large Value / 25 Int-Term Inv. Grade / 5 Cash **,0.0093
MSTVX,Morningstar Alternatives,Non-Traditional,0.0146
OMGNX,Invesco Main Street R,US Large Blend,0.011
ISIPX,Voya US Stock Index Port S2,US Large Blend,0.0066
FBND,Fidelity Total Bond ETF,Int-Term Inv. Grade,0.0036
IMCB,iShares Morningstar Mid-Cap ETF,US Mid Blend,0.0004
VITL,Vital Farms Inc Ordinary Shares,US Small Growth,0.0
MNKKQ,Mallinckrodt PLC,Intl Small Value,0.0
FIGY,Barclays ETN+ FI Enhanced Global High Yield ETN,Intl Large,0.0064
THNPY,Technip Energies NV ADR,Intl Small Blend,0.0
XSVM,Invesco S&P SmallCap Value with Momt ETF,US Small Value,0.0039
MVCKX,MFS Mid Cap Value R6,US Mid Value,0.0068
BELP,Belpointe REIT Inc Ordinary Shares,US Real Estate,0.0
AVUVX,Avantis U.S. Small Cap Value Instl,US Small Value,0.0025
AVDVX,Avantis International Small Cap Val Ins,Intl Mid Value,0.0036
DCAAX,BNY Mellon CA AMT-Free Municipal Bond A,Long-Term Inv. Grade,0.0099
DCACX,BNY Mellon CA AMT-Free Municipal Bond C,Long-Term Inv. Grade,0.0176
NWHVX,Nationwide Geneva Mid Cap Gr A,US Mid Growth,0.0107
BAGSX,Baird Aggregate Bond Inv,** 50 Int-Term Inv. Grade / 50 Long-Term Inv. Grade **,0.0055
MSIAX,Morgan Stanley Inst Intl Advtg C,Intl Large Growth,0.0198
FIHBX,Federated Institutional High-Yield Bond Fund Institutional Shares,High Yield,0.005
FBT,First Trust Amex Biotech Index Fund,US Mid Growth,0.0055
ASYLX,AB Select US Long/Short Advisor,US Large Blend,0.017
JVASX,JPMorgan Value Advantage I,US Large Value,0.0089
MLNIX,Morgan Stanley Instl Glbl Concntr I,** 60 US Large Growth / 40 Intl Large Growth **,0.01
TSVIX,Transamerica Small/Mid Cap Value I,US Mid Value,0.0095
DB,Deutsche Bank,Intl Large Blend,0.0
MDILX,BlackRock International Inv,Intl Large Blend,0.009
AWLIF,Ameriwest Lithium Inc Ordinary Shares,Intl Mid Blend,0.0
BSMIX,iShares Russell Small/Mid-Cap Idx Instl,US Small Blend,0.0012
VTCIX,Vanguard Tax-Managed Capital App I,US Large Blend,0.0006
MVGAX,MFS Low Volatility Global Equity A,Intl Large Blend,0.01
FILFX,Strategic Advisers® International,Intl Large Blend,0.0056
NHINX,Neuberger Berman High Income Bond Inv,Int-Term Inv. Grade,0.0086
PSILX,T. Rowe Price Spectrum International Eq Fund,Intl Large Blend,0.0089
WFEAX,Wells Fargo International Equity Fund,Intl Large Value,0.0114
PLGAX,Principal LargeCap Growth I A,US Large Growth,0.0099
PRITX,T. Rowe Price International Stock,Intl Large Growth,0.0079
TWMIX,American Century Emerging Markets Inv,Emerging Large Growth,0.0125
USGRX,USAA Growth & Income,US Large Blend,0.0087
GSMUX,Goldman Sachs Dynamic Municipal,Long-Term Inv. Grade,0.0147
FINFX,American Funds Fundemental Invs F2,** 76 US Large Growth / 24 Intl Large Growth **,0.0041
MLNCX,Morgan Stanley Instl Glbl Concntr C,** 60 US Large Growth / 20 Intl Large Growth / 20 Emerging Large Growth **,0.021
PYCRX,Payden California Municipal Social Imp,Int-Term Treasury,0.0045
LALDX,Lord Abbett Short Duration Income A,Short-Term Inv. Grade,0.0059
KVHI,KVH Industries Inc,US Small Blend,
PIEQX,T. Rowe Price International Eq Index,Intl Large Blend,0.0045
SGVDX,Wells Fargo Government Securities A,** 20 Int-Term Treasury / 80 Int-Term Inv. Grade **,0.0086
PARFX,T. Rowe Price Retirement 2050 Advisor,** 61 US Large Blend / 26 Intl Large Blend / 6 Emerging Large Blend / 3 Int-Term Inv. Grade / 4 Cash **,0.0088
JRBFX,JHancock Regional Bank I,US Small Value,0.0092
VSSCX,JPMorgan Small Cap Sustainable Ldrs R5,US Small Blend,0.007
DIM,WisdomTree International MidCap Div ETF,Intl Mid Value,0.0058
MSSGX,Morgan Stanley Inst Inception I,US Small Growth,0.01
